"population_name","population_name2","num_sites_where_both_havedata","N_both_het","N_hom_het","N_hom_alt_hom_ref","N_hom_hom_ref","N_hom_hom_alt","pairwise_pi","pairwise_geno","N_same","N_different","n"
"Kob","Kd",1296.85416666667,34.2083333333333,54.5833333333333,143.125,1063.14583333333,1.79166666666667,145.513888888917,170.416666666667,1099.14583333333,197.708333333333,48
"Kob","SS",1482.5,41.0833333333333,61.1666666666667,101,1194.41666666667,84.8333333333333,125.305555555667,131.583333333333,1320.33333333333,162.166666666667,12
"Kob","APR",1408.75,33.5,49.5,67.5,1150.75,107.5,92.083333333325,92.25,1291.75,117,4
"Kob","SP",1450.75,41.8333333333333,61.6666666666667,108.75,1150.16666666667,88.3333333333333,131.222222222167,139.583333333333,1280.33333333333,170.416666666667,12
"Kob","NkN",1265.70833333333,29.7708333333333,51.2083333333333,146.583333333333,1029.89583333333,8.25,143.173611111063,172.1875,1067.91666666667,197.791666666667,48
"Kob","APK",911.5,25,37.5,47.75,733.75,67.5,67.25,66.5,826.25,85.25,4
"Kob","NkS",1262.10416666667,32.7916666666667,51.1458333333333,144.25,1031.52083333333,2.39583333333333,143.6006944445,169.822916666667,1066.70833333333,195.395833333333,48
"Kob","HB",1279.25,26.125,66.25,138.125,1025.75,23,142.625,171.25,1074.875,204.375,8
"Kob","Ph",1172,29,46.5,91.75,937.5,67.25,103.750000000075,115,1033.75,138.25,4
"Kd","Kob",1296.85416666667,34.2083333333333,54.5833333333333,143.125,1063.14583333333,1.79166666666667,145.513888888917,170.416666666667,1099.14583333333,197.708333333333,48
"Kd","SS",1506.02083333333,36.6944444444444,73.5833333333333,157.243055555556,1236.48611111111,2.01388888888889,166.08333333334,194.034722222222,1275.19444444444,230.826388888889,144
"Kd","APR",1393,28.5833333333333,67.2083333333333,161.833333333333,1133.5,1.875,160.548611111104,195.4375,1163.95833333333,229.041666666667,48
"Kd","SP",1484.84027777778,42.4375,71.375,170.4375,1198.25,2.34027777777778,177.604166666681,206.125,1243.02777777778,241.8125,144
"Kd","NkN",1389.82118055556,33.5069444444444,46.3315972222222,52.6354166666667,1254.35069444444,2.99652777777778,80.594039351855,75.8012152777778,1290.85416666667,98.9670138888889,576
"Kd","APK",833.125,14.8541666666667,46.5625,102.916666666667,667.604166666667,1.1875,101.795138888892,126.197916666667,683.645833333333,149.479166666667,48
"Kd","NkS",1369.30381944444,36.375,44.1753472222222,30.8802083333333,1252.46180555556,5.41145833333333,66.9244791666682,52.9678819444444,1294.24826388889,75.0555555555556,576
"Kd","HB",1383.04166666667,28.0625,61.8645833333333,74.875,1209.34375,8.89583333333333,99.5572916666844,105.807291666667,1246.30208333333,136.739583333333,96
"Kd","Ph",1138,24.6875,48.4583333333333,127.833333333333,934.5625,2.45833333333333,125.909722222208,152.0625,961.708333333333,176.291666666667,48
"SS","Kob",1482.5,41.0833333333333,61.1666666666667,101,1194.41666666667,84.8333333333333,125.305555555667,131.583333333333,1320.33333333333,162.166666666667,12
"SS","Kd",1506.02083333333,36.6944444444444,73.5833333333333,157.243055555556,1236.48611111111,2.01388888888889,166.08333333334,194.034722222222,1275.19444444444,230.826388888889,144
"SS","APR",1744.5,37.5833333333333,84.25,125.5,1414.75,82.4166666666667,150.84722222225,167.625,1534.75,209.75,12
"SS","SP",1858.02777777778,58.1666666666667,100.138888888889,100.305555555556,1488.44444444444,110.972222222222,155.717592592583,150.375,1657.58333333333,200.444444444444,36
"SS","NkN",1477.91666666667,34.0625,65.9583333333333,155.756944444444,1214.01388888889,8.125,159.525462962986,188.736111111111,1256.20138888889,221.715277777778,144
"SS","APK",1010.16666666667,19.5,52.6666666666667,85.25,800.833333333333,51.9166666666667,96.1666666666833,111.583333333333,872.25,137.916666666667,12
"SS","NkS",1414.95138888889,33.5486111111111,63.0625,150.6875,1165.33333333333,2.31944444444444,154.35532407409,182.21875,1201.20138888889,213.75,144
"SS","HB",1528.625,30.1666666666667,81.4166666666667,156.833333333333,1235.95833333333,24.25,165.375000000042,197.541666666667,1290.375,238.25,24
"SS","Ph",1264.83333333333,27.75,55.0833333333333,94.9166666666667,1025.16666666667,61.9166666666667,109.319444444417,122.458333333333,1114.83333333333,150,12
"APR","Kob",1408.75,33.5,49.5,67.5,1150.75,107.5,92.083333333325,92.25,1291.75,117,4
"APR","Kd",1393,28.5833333333333,67.2083333333333,161.833333333333,1133.5,1.875,160.548611111104,195.4375,1163.95833333333,229.041666666667,48
"APR","SS",1744.5,37.5833333333333,84.25,125.5,1414.75,82.4166666666667,150.84722222225,167.625,1534.75,209.75,12
"APR","SP",1641,40.5,78.1666666666667,137.083333333333,1292.91666666667,92.3333333333333,157.472222222167,176.166666666667,1425.75,215.25,12
"APR","NkN",1356.45833333333,24.8125,58.8125,164.625,1099.45833333333,8.75,155.697916666708,194.03125,1133.02083333333,223.4375,48
"APR","APK",1066.5,19.75,67,61.5,840,78.25,87.66666666665,95,938,128.5,4
"APR","NkS",1295.35416666667,26.2708333333333,55.4583333333333,159.1875,1051.125,3.3125,151.368055555542,186.916666666667,1080.70833333333,214.645833333333,48
"APR","HB",1355.75,21.125,68.25,156.25,1089.125,21,152.375000000125,190.375,1131.25,224.5,8
"APR","Ph",1267.5,23.75,52.5,105.5,1017.75,68,112.41666666675,131.75,1109.5,158,4
"SP","Kob",1450.75,41.8333333333333,61.6666666666667,108.75,1150.16666666667,88.3333333333333,131.222222222167,139.583333333333,1280.33333333333,170.416666666667,12
"SP","Kd",1484.84027777778,42.4375,71.375,170.4375,1198.25,2.34027777777778,177.604166666681,206.125,1243.02777777778,241.8125,144
